link,name
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/geschaftsbericht-2016-anhang.pdf/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/geschaftsbericht-2016-anhang.pdf/download,Verwaltungs- und Gerichtsentscheide 2016
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2015/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2015/download,Verwaltungs- und Gerichtsentscheide 2015
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2014/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2014/download,Verwaltungs- und Gerichtsentscheide 2014
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2013/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2013/download,Verwaltungs- und Gerichtsentscheide 2013
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2012.pdf/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2012.pdf/download,Verwaltungs- und Gerichtsentscheide 2012
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2011.pdf/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2011.pdf/download,Verwaltungs- und Gerichtsentscheide 2011
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2010.pdf/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2010.pdf/download,Verwaltungs- und Gerichtsentscheide 2010
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2009.pdf/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2009.pdf/download,Verwaltungs- und Gerichtsentscheide 2009
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2008.pdf/download,
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2008.pdf/download,Verwaltungs- und Gerichtsentscheide 2008
https://www.ai.ch/themen/staat-und-recht/veroeffentlichungen/verwaltungs-und-gerichtsentscheide/ftw-simplelayout-filelistingblock/verwaltungs-und-gerichtsentscheide-2007.pdf/download,
